timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
293228935,0.020735787,-0.0026686003,0.5384562
293239334,0.036001734,0.0062238593,0.52878535
293248934,0.047371708,0.00023310262,0.5012948
293259334,0.08479247,0.018018022,0.48177955
293268934,0.08954707,0.015875487,0.46530834
293279334,0.10266255,0.007638307,0.5070388
293288935,0.08821523,0.0139203,0.5491738
293299334,0.058523644,0.015407555,0.5334984
293308935,0.058620907,0.004590986,0.5373556
293319334,0.060678054,-0.022377629,0.55059433
293328934,0.039994977,0.010290507,0.5504623
293339334,0.029019265,0.009780845,0.5252472
293360180,0.029019265,0.009780845,0.5252472
293380175,0.029019265,0.009780845,0.5252472
293390534,0.07489818,0.010654553,0.56779075
293400175,0.057844914,0.039838515,0.5749233
293410534,0.066504635,0.03443023,0.5766346
293420176,0.007582159,0.034138992,0.56355363
293430540,0.017273054,0.033629328,0.5378173
293440175,0.002098877,0.024809679,0.55112743
293450534,0.0071324445,0.015625983,0.54571956
293460174,0.013922223,0.030072344,0.54161614
293470542,0.018016383,0.016062837,0.5672953
293480174,0.06446396,0.02873071,0.5640491
293490534,0.032238346,0.045465227,0.5845643
293500175,0.03530471,0.06695275,0.5694845
293510534,0.04005564,0.072069794,0.552868
293520175,0.023956418,0.07704123,0.529494
293530534,0.044641327,0.0407433,0.5296985
293540174,0.04148319,0.019182967,0.541139
293550534,0.02955709,0.03562625,0.5465756
293560179,0.04221188,0.030654818,0.5700364
293570541,0.04778876,0.036427148,0.5861746
293580174,0.030834585,0.051164746,0.5972368
293590534,0.02655688,0.06502864,0.5642788
293600174,0.021523312,0.074212335,0.5696868
293610537,0.024611633,0.052142337,0.55547774
293620174,0.02991869,0.046806864,0.56091535
293630534,0.048724506,0.04851254,0.55494225
293651335,0.048724506,0.04851254,0.55494225
293661735,0.048724506,0.04851254,0.55494225
293671335,0.048724506,0.04851254,0.55494225
293681734,-0.0036115893,0.05479454,0.5980328
293691334,-0.0057440386,0.049022205,0.5818077
293701734,0.024244545,0.051851105,0.5409202
293711334,-0.004521997,0.039547276,0.56192905
293721735,-0.00080224243,0.039765704,0.5727604
293731334,0.008312678,0.04198105,0.59252363
293741739,0.030740982,0.05472173,0.5935248
293751334,0.0053325947,0.031455714,0.61102515
293761734,0.029601563,0.082418434,0.61667997
293771334,0.040969707,0.08005747,0.5891168
293781734,0.033355806,0.061326034,0.5605382
293791341,0.042112786,0.04510118,0.56610674
293801734,0.038761955,0.041544195,0.5699056
293811334,0.032231025,0.059984397,0.58427405
293821734,0.033728387,0.050727893,0.57531357
293831334,0.034374453,0.04397797,0.60093445
293841734,0.010439636,0.05864276,0.60853094
293851334,0.015188737,0.0673896,0.59184194
293861734,0.021435197,0.066879936,0.5661925
293871335,0.023404233,0.032578927,0.575937
293881734,-0.005461401,0.034721464,0.59301615
293891334,0.014643592,0.05606337,0.5702233
293901734,-0.015882816,0.027389068,0.58978254
293912153,-0.001376389,0.038860917,0.6183325
293921734,0.005604253,0.038933728,0.6217982
293931334,0.005596935,0.0534529,0.62150794
293942535,0.005596935,0.0534529,0.62150794
293962561,0.005596935,0.0534529,0.62150794
293972935,0.005596935,0.0534529,0.62150794
293982535,-0.0059147724,0.023468042,0.575037
293992934,0.008762389,0.06049406,0.61035776
294002535,0.008855993,0.056937076,0.61406976
294012934,0.019372841,0.057082694,0.6210879
294022534,0.034453414,0.06945933,0.6040658
294032934,0.02505952,0.07428514,0.5732394
294042534,0.021429708,0.07776932,0.5659748
294052934,0.023116104,0.057769053,0.5645108
294062534,0.019956138,0.039838515,0.5758787
294072934,0.037442647,0.0618357,0.5859271
294082535,0.033060636,0.05338009,0.6171737
294092934,0.026079996,0.053307284,0.6137081
294102540,-0.014882468,0.04633893,0.62945294
294112934,-0.010504118,0.062054127,0.5980613
294122535,0.028502123,0.07791494,0.5730799
294132934,0.019851554,0.06517426,0.5717312
294143339,0.03504037,0.044955563,0.5590017
294152934,0.03242372,0.04198105,0.5919156
294162534,0.04116972,0.047534954,0.59704876
294172934,0.03763717,0.040202558,0.59364134
294184175,0.02077111,0.062272552,0.60819775
294192935,0.018899338,0.085756995,0.6023104
294204183,0.016862324,0.07279789,0.58987
294212935,-0.0077828816,0.039692897,0.56929475
294224175,-0.0077828816,0.039692897,0.56929475
294233735,-0.0077828816,0.039692897,0.56929475
294244176,-0.0077828816,0.039692897,0.56929475
294253735,-0.0077828816,0.039692897,0.56929475
294264174,0.036237076,0.038642492,0.60645896
294273734,0.024221035,0.051383175,0.60832864
294284175,0.046463966,0.06760803,0.6019784
294293735,0.025430266,0.06731679,0.587942
294304175,0.023106955,0.07591802,0.56414795
294313735,0.0075766686,0.045028374,0.56333596
294324174,0.020315908,0.05464892,0.59014595
294333735,0.019290218,0.038860917,0.6178114
294344175,-0.001739819,0.031310096,0.6039201
294353735,0.027573695,0.051310364,0.6046024
294364158,-0.008180803,0.0534529,0.6218554
294373735,-0.012276796,0.0710922,0.59610367
294384175,-0.025867332,0.06397823,0.603875
294393735,-0.005463231,0.038351256,0.5929436
294404174,-0.010946512,0.029021945,0.5805175
294413735,0.0045965854,0.034503035,0.5818374
294424175,0.023398742,0.043468308,0.5757193
294434535,0.04284331,0.05294324,0.5950768
294444164,-0.0081753135,0.04256352,0.62207305
294455334,-0.015341331,0.045974888,0.611256
294464175,0.0013210549,0.063687,0.5886225
294475334,-0.0006241866,0.0508007,0.5798215
294484183,-0.00043698237,0.043686733,0.58724546
294495334,0.014186559,0.05206953,0.5520989
294504178,0.039218985,0.045538034,0.58803
294513734,0.039224476,0.034648653,0.58824766
294515335,0.04629689,0.034794275,0.59535277
294524935,0.04629689,0.034794275,0.59535277
294535335,0.04629689,0.034794275,0.59535277
294544935,0.04629689,0.034794275,0.59535277
294555336,0.04629689,0.034794275,0.59535277
294564934,-0.010961152,0.05806029,0.5799369
294575334,-0.012818282,0.052506384,0.5746302
294584935,0.008498053,0.038496874,0.59987503
294595337,-0.0033271234,0.036864,0.6093138
294604970,0.00515271,0.024050511,0.60389155
294615334,0.015656749,0.049604677,0.6104017
294624935,0.023844795,0.0692409,0.5934082
294635334,0.039020803,0.07443076,0.58017063
294644935,0.03494128,0.059401926,0.555072
294655363,0.02991137,0.061326034,0.5606251
294664934,0.01342704,0.05464892,0.5903197
294675334,0.009716435,0.03628153,0.5798512
294684935,0.005987535,0.054212067,0.56865704
294695334,0.02413292,0.044050775,0.6048344
294704967,0.017423939,0.051455982,0.61214185
294715335,0.0151006235,0.060057208,0.5883477
294726537,0.04079165,0.06902247,0.58205575
294735335,0.021616915,0.07065535,0.57339877
294744934,0.021624234,0.05613618,0.57368904
294755335,0.031957537,0.05613618,0.57342845
294766534,0.04406352,0.0470981,0.5751256
294775335,0.029252771,0.04582927,0.6028481
294786534,0.008868803,0.031528525,0.6145778
294795334,-0.02362664,0.037155237,0.6243925
294806534,-0.022316482,0.0350127,0.608008
294815334,-0.0036170795,0.065683916,0.59781504
294826535,-0.0036170795,0.065683916,0.59781504
294836935,-0.0036170795,0.065683916,0.59781504
294846535,-0.0036170795,0.065683916,0.59781504
294856175,-0.0036170795,0.065683916,0.59781504
294856935,-0.0036170795,0.065683916,0.59781504
294866534,0.03931259,0.04198105,0.5917419
294876183,0.0378134,0.05486735,0.60062987
294886540,0.020862883,0.062345363,0.6118372
294896176,0.0014899623,0.09287096,0.5953208
294906534,0.014821646,0.067098364,0.57728434
294916175,0.023209708,0.054212067,0.56822276
294926535,0.0388519,0.0452468,0.5734725
294936174,0.025075989,0.041617006,0.5738925
294946534,0.051501196,0.051164746,0.5967156
294956174,0.04489496,0.036864,0.6080978
294966534,0.017152281,0.04397797,0.6013688
294976174,-0.40837577,0.04931344,0.60652757
294977735,0.032511834,0.04931344,0.5954099
294986534,0.025057688,0.07791494,0.5731668
294996174,0.030003142,0.061398845,0.56426454
295006534,0.019772593,0.039692897,0.5685999
295016179,0.02553851,0.034721464,0.5922345
295026540,-0.010583082,0.036572766,0.59492993
295036175,-0.010169191,0.035085507,0.6113434
295037734,-0.001558104,0.035085507,0.61112624
295046534,-0.0026883758,0.044633247,0.6346444
295056175,-0.0031040977,0.049750295,0.6181582
295057735,-0.022048485,0.049750295,0.6186359
