timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
237351856,32767,32767,32767,32767,-64,-61,32767
237355856,32767,32767,32767,32767,32767,32767,32767
237359856,32767,32767,32767,32767,32767,32767,32767
237363856,32767,32767,32767,32767,32767,-69,32767
237367856,32767,32767,32767,32767,32767,32767,32767
237371856,32767,32767,32767,32767,-54,-61,32767
237375856,32767,32767,32767,32767,32767,32767,32767
237379856,32767,32767,32767,32767,32767,32767,32767
237383856,32767,32767,32767,32767,-65,-77,32767
237387856,32767,32767,32767,32767,32767,32767,32767
237391856,32767,32767,32767,32767,-44,-61,32767
237395856,32767,32767,32767,32767,32767,32767,32767
237399856,32767,32767,32767,32767,32767,32767,32767
237403856,32767,32767,32767,32767,32767,-77,32767
237407856,32767,32767,32767,32767,32767,32767,32767
237411856,32767,32767,32767,32767,32767,-61,32767
237415856,32767,32767,32767,32767,-74,32767,32767
237419856,32767,32767,32767,32767,32767,32767,32767
237423856,32767,32767,32767,32767,-45,-77,32767
237427856,32767,32767,32767,32767,32767,32767,32767
237431856,32767,32767,32767,32767,32767,-53,32767
237435856,32767,32767,32767,32767,-63,32767,32767
237439856,32767,32767,32767,32767,32767,32767,32767
237443856,32767,32767,32767,32767,32767,-69,32767
237447856,32767,32767,32767,32767,32767,32767,32767
237451856,32767,32767,32767,32767,32767,-53,32767
237455856,32767,32767,32767,32767,-54,32767,32767
237459856,32767,32767,32767,32767,32767,32767,32767
237463856,32767,32767,32767,32767,32767,-69,32767
237467856,32767,32767,32767,32767,-65,32767,32767
237471856,32767,32767,32767,32767,32767,-53,32767
237475856,32767,32767,32767,32767,-44,-77,32767
237479856,32767,32767,32767,32767,32767,32767,32767
237483856,32767,32767,32767,32767,32767,-69,32767
237487856,32767,32767,32767,32767,32767,32767,32767
237491856,32767,32767,32767,32767,32767,32767,32767
237495856,32767,32767,32767,32767,32767,-77,32767
237499856,32767,32767,32767,32767,-69,32767,32767
237504656,32767,32767,32767,32767,32767,-77,32767
237508656,32767,32767,32767,32767,-53,32767,32767
237512656,32767,32767,32767,32767,32767,-45,32767
237516656,32767,32767,32767,32767,32767,32767,32767
237520656,32767,32767,32767,32767,-71,32767,32767
237524656,32767,32767,32767,32767,32767,-77,32767
237528662,32767,32767,32767,32767,32767,32767,32767
237532656,32767,32767,32767,32767,32767,-45,32767
237536656,32767,32767,32767,32767,32767,32767,32767
237540656,32767,32767,32767,32767,-62,32767,32767
237544656,32767,32767,32767,32767,32767,-77,32767
237548656,32767,32767,32767,32767,32767,32767,32767
237552656,32767,32767,32767,32767,-73,-45,32767
237556656,32767,32767,32767,32767,32767,32767,32767
237560656,32767,32767,32767,32767,-52,32767,32767
237564656,32767,32767,32767,32767,32767,-77,32767
237568656,32767,32767,32767,32767,32767,32767,32767
237572656,32767,32767,32767,32767,32767,-45,32767
237576656,32767,32767,32767,32767,32767,32767,32767
237580656,32767,32767,32767,32767,-42,32767,32767
237584656,32767,32767,32767,32767,32767,-77,32767
237588656,32767,32767,32767,32767,32767,32767,32767
237592656,32767,32767,32767,32767,-53,-45,32767
237596656,32767,32767,32767,32767,32767,32767,32767
237600656,32767,32767,32767,32767,32767,32767,32767
237604656,32767,32767,32767,32767,-68,-77,32767
237608656,32767,32767,32767,32767,32767,32767,32767
237612656,32767,32767,32767,32767,32767,-45,32767
237616691,32767,32767,32767,32767,32767,32767,32767
237620656,32767,32767,32767,32767,32767,32767,32767
237624656,32767,32767,32767,32767,-62,-77,32767
237628656,32767,32767,32767,32767,32767,32767,32767
237632656,32767,32767,32767,32767,32767,-45,32767
237636656,32767,32767,32767,32767,-71,32767,32767
237640656,32767,32767,32767,32767,32767,32767,32767
237644656,32767,32767,32767,32767,-52,-77,32767
237648656,32767,32767,32767,32767,32767,32767,32767
237652656,32767,32767,32767,32767,32767,-53,32767
237656656,32767,32767,32767,32767,32767,32767,32767
237660656,32767,32767,32767,32767,32767,32767,32767
237664656,32767,32767,32767,32767,-42,-77,32767
237668656,32767,32767,32767,32767,32767,32767,32767
237672664,32767,32767,32767,32767,32767,-53,32767
237676656,32767,32767,32767,32767,-53,32767,32767
237680656,32767,32767,32767,32767,32767,32767,32767
237684658,32767,32767,32767,32767,32767,-77,32767
237688656,32767,32767,32767,32767,-71,32767,32767
237692656,32767,32767,32767,32767,32767,-53,32767
237696656,32767,32767,32767,32767,32767,32767,32767
237700656,32767,32767,32767,32767,32767,32767,32767
237704656,32767,32767,32767,32767,32767,-77,32767
237709456,32767,32767,32767,32767,-70,32767,32767
237713464,32767,32767,32767,32767,32767,-61,32767
237717456,32767,32767,32767,32767,-41,32767,32767
237721456,32767,32767,32767,32767,32767,-45,32767
237725456,32767,32767,32767,32767,32767,32767,32767
237729456,32767,32767,32767,32767,-60,32767,32767
237733456,32767,32767,32767,32767,32767,-53,32767
237737456,32767,32767,32767,32767,32767,32767,32767
237741456,32767,32767,32767,32767,32767,32767,32767
237745456,32767,32767,32767,32767,32767,32767,32767
237749456,32767,32767,32767,32767,-50,32767,32767
237753456,32767,32767,32767,32767,32767,-53,32767
237757456,32767,32767,32767,32767,32767,32767,32767
237761456,32767,32767,32767,32767,-61,32767,32767
237765456,32767,32767,32767,32767,32767,32767,32767
237769456,32767,32767,32767,32767,-39,32767,32767
237773456,32767,32767,32767,32767,32767,-53,32767
237777456,32767,32767,32767,32767,32767,32767,32767
237781459,32767,32767,32767,32767,32767,32767,32767
237785456,32767,32767,32767,32767,32767,-61,32767
237789456,32767,32767,32767,32767,32767,32767,32767
237793456,32767,32767,32767,32767,-70,-53,32767
237797469,32767,32767,32767,32767,32767,32767,32767
237801456,32767,32767,32767,32767,-41,32767,32767
237805456,32767,32767,32767,32767,32767,-61,32767
237809456,32767,32767,32767,32767,32767,32767,32767
237813456,32767,32767,32767,32767,-59,-53,32767
237817456,32767,32767,32767,32767,32767,32767,32767
237821456,32767,32767,32767,32767,32767,32767,32767
237825456,32767,32767,32767,32767,32767,-61,32767
237829456,32767,32767,32767,32767,32767,32767,32767
237833456,32767,32767,32767,32767,-50,-53,32767
237837456,32767,32767,32767,32767,32767,32767,32767
237841456,32767,32767,32767,32767,32767,32767,32767
237845456,32767,32767,32767,32767,-61,-61,32767
237849457,32767,32767,32767,32767,32767,32767,32767
237853456,32767,32767,32767,32767,-39,-53,32767
237857456,32767,32767,32767,32767,32767,32767,32767
237861456,32767,32767,32767,32767,32767,32767,32767
237865456,32767,32767,32767,32767,32767,-61,32767
237869456,32767,32767,32767,32767,32767,32767,32767
237873456,32767,32767,32767,32767,32767,-53,32767
237877456,32767,32767,32767,32767,-69,32767,32767
237881456,32767,32767,32767,32767,32767,32767,32767
237885456,32767,32767,32767,32767,-41,-61,32767
237889456,32767,32767,32767,32767,32767,32767,32767
237894256,32767,32767,32767,32767,32767,-61,32767
237898256,32767,32767,32767,32767,-68,32767,32767
237902256,32767,32767,32767,32767,32767,32767,32767
