timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
164344961,5.2384276,0.0,0,0,1,0,1,0,0
164844960,5.18042,0.0,0,0,1,0,1,0,0
165344960,5.2271485,0.0,0,0,1,0,1,0,0
165844960,5.1997557,0.0,0,0,1,0,1,0,0
166344990,5.225537,0.0,0,0,1,0,1,0,0
166844967,5.220703,0.0,0,0,1,0,1,0,0
167344967,5.1981444,0.0,0,0,1,0,1,0,0
167844990,5.231982,0.0,0,0,1,0,1,0,0
168344960,5.21748,0.0,0,0,1,0,1,0,0
168854957,5.219092,0.0,0,0,1,0,1,0,0
169354957,5.21748,0.0,0,0,1,0,1,0,0
169854957,5.235205,0.0,0,0,1,0,1,0,0
170354957,5.235205,0.0,0,0,1,0,1,0,0
170854957,5.177197,0.0,0,0,1,0,1,0,0
171354957,5.215869,0.0,0,0,1,0,1,0,0
171854957,5.1981444,0.0,0,0,1,0,1,0,0
172354957,5.2239256,0.0,0,0,1,0,1,0,0
172854957,5.1868653,0.0,0,0,1,0,1,0,0
173354957,5.240039,0.0,0,0,1,0,1,0,0
173854957,5.2271485,0.0,0,0,1,0,1,0,0
174354957,5.22876,0.0,0,0,1,0,1,0,0
174854957,5.256152,0.0,0,0,1,0,1,0,0
175364990,5.1723633,0.0,0,0,1,0,1,0,0
175864968,5.230371,0.0,0,0,1,0,1,0,0
176364973,5.201367,0.0,0,0,1,0,1,0,0
176864990,5.2239256,0.0,0,0,1,0,1,0,0
177364960,5.2497067,0.0,0,0,1,0,1,0,0
177864960,5.165918,0.0,0,0,1,0,1,0,0
178364964,5.225537,0.0,0,0,1,0,1,0,0
178864960,5.1788087,0.0,0,0,1,0,1,0,0
179364990,5.2368164,0.0,0,0,1,0,1,0,0
179864960,5.194922,0.0,0,0,1,0,1,0,0
180364960,5.240039,0.0,0,0,1,0,1,0,0
180864987,5.215869,0.0,0,0,1,0,1,0,0
181364960,5.215869,0.0,0,0,1,0,1,0,0
181874957,5.215869,0.0,0,0,1,0,1,0,0
182374957,5.1755857,0.0,0,0,1,0,1,0,0
182874957,5.2126465,0.0,0,0,1,0,1,0,0
183374957,5.1836424,0.0,0,0,1,0,1,0,0
183874957,5.244873,0.0,0,0,1,0,1,0,0
184374957,5.2497067,0.0,0,0,1,0,1,0,0
184874957,5.215869,0.0,0,0,1,0,1,0,0
185384973,5.219092,0.0,0,0,1,0,1,0,0
185884990,5.1755857,0.0,0,0,1,0,1,0,0
186384960,5.2384276,0.0,0,0,1,0,1,0,0
186884960,5.196533,0.0,0,0,1,0,1,0,0
187384966,5.2384276,0.0,0,0,1,0,1,0,0
187884960,5.2464843,0.0,0,0,1,0,1,0,0
188384993,5.235205,0.0,0,0,1,0,1,0,0
188884981,5.2142577,0.0,0,0,1,0,1,0,0
189384974,5.18042,0.0,0,0,1,0,1,0,0
189884960,5.244873,0.0,0,0,1,0,1,0,0
190384960,5.1997557,0.0,0,0,1,0,1,0,0
190884990,5.244873,0.0,0,0,1,0,1,0,0
191394957,5.243262,0.0,0,0,1,0,1,0,0
191894957,5.2110353,0.0,0,0,1,0,1,0,0
