timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
35946902,-0.04118873,-0.09358826,-0.066195965,-0.42007428,0.01999418,-0.011203986,0.9072003,0.92968196,0.072166294,0.0455566,-0.3583408,2
35978818,-0.031384602,-0.01726488,0.08054452,-0.4211371,0.019361515,-0.011042658,0.90672314,0.92968196,0.072166294,0.0455566,-0.3583408,2
36010895,0.045667414,0.12347263,0.006405422,-0.4213925,0.019700607,-0.011259214,0.9065945,0.92968196,0.072166294,0.0455566,-0.3583408,2
36039685,0.097659774,-0.0143816685,0.033133566,-0.42198002,0.02014258,-0.011305425,0.9063109,0.92968196,0.072166294,0.0455566,-0.3583408,2
36071693,-0.09825727,-0.15455195,-0.0761738,-0.42285934,0.019745994,-0.011387469,0.9059087,0.92968196,0.072166294,0.0455566,-0.3583408,2
36103722,0.06251699,0.04974528,0.08242169,-0.42349553,0.01983982,-0.011398,0.9056092,0.92968196,0.072166294,0.0455566,-0.3583408,2
36135685,0.02695775,0.15060079,0.028005395,-0.42444783,0.020200051,-0.011705767,0.90515137,0.92968196,0.072166294,0.0455566,-0.3583408,2
36167685,0.09643331,0.057576563,-0.02316603,-0.424752,0.02099532,-0.011770621,0.9049898,0.92968196,0.072166294,0.0455566,-0.3583408,2
36199721,-0.07948371,-0.121683545,0.033532847,-0.42587918,0.020940447,-0.011849524,0.90446013,0.92968196,0.072166294,0.0455566,-0.3583408,2
36227702,0.005274452,-0.05268642,-0.09064689,-0.42645678,0.020791974,-0.011849233,0.9041913,0.92968196,0.072166294,0.0455566,-0.3583408,2
36261322,0.030445248,0.091547385,0.14951788,-0.42771542,0.020600855,-0.012013812,0.9035988,0.92968196,0.072166294,0.0455566,-0.3583408,2
36293300,0.08709137,0.103536166,-0.105345055,-0.4280679,0.021102155,-0.012144741,0.9034186,0.92968196,0.072166294,0.0455566,-0.3583408,2
36325345,0.018347226,0.1026107,0.073183656,-0.4292049,0.02105858,-0.012215175,0.902879,0.92968196,0.072166294,0.0455566,-0.3583408,2
36357344,0.056812607,0.013136286,-0.0248578,-0.42993033,0.021916147,-0.012491075,0.9025097,0.92968196,0.072166294,0.0455566,-0.3583408,2
36385317,-0.091457255,-0.063248366,0.09100131,-0.43104157,0.0222453,-0.012613238,0.9019696,0.92968196,0.072166294,0.0455566,-0.3583408,2
36418111,0.09065613,-0.01553961,-0.06605357,-0.43180826,0.022159927,-0.012616944,0.901605,0.92968196,0.072166294,0.0455566,-0.3583408,2
36450088,-0.12641014,-0.17508452,-0.020008925,-0.43304238,0.022200052,-0.012744133,0.9010101,0.92968196,0.072166294,0.0455566,-0.3583408,2
36482018,0.018246219,0.04816187,0.11643345,-0.434094,0.02206209,-0.012747731,0.90050715,0.92968196,0.072166294,0.0455566,-0.3583408,2
36514119,0.09470819,0.06739035,-0.03160131,-0.4349363,0.022462677,-0.013034447,0.9000867,0.92968196,0.072166294,0.0455566,-0.3583408,2
36546105,-0.041585695,0.10365048,0.08427872,-0.4363903,0.02285852,-0.013181708,0.89937055,0.92968196,0.072166294,0.0455566,-0.3583408,2
36574158,0.17147246,0.09173227,0.09103747,-0.4372984,0.023597695,-0.013254889,0.89890915,0.92968196,0.072166294,0.0455566,-0.3583408,2
36606895,-0.017003978,0.08554241,0.03867993,-0.43885875,0.022821164,-0.013489212,0.89816505,0.92968196,0.072166294,0.0455566,-0.3583408,2
36638910,0.0008715737,0.0854784,-0.00030433107,-0.44015667,0.022394015,-0.013394156,0.8975418,0.92968196,0.072166294,0.0455566,-0.3583408,2
36670932,0.07932277,0.04159982,0.07019365,-0.4411206,0.022285374,-0.013276886,0.897073,0.92968196,0.072166294,0.0455566,-0.3583408,2
36702910,-0.035098348,-0.12347626,-0.084641814,-0.4421411,0.023137262,-0.013590135,0.89654416,0.92968196,0.072166294,0.0455566,-0.3583408,2
36734902,-0.12963076,-0.12964584,-0.01211321,-0.44344333,0.023695553,-0.013854071,0.89588207,0.92968196,0.072166294,0.0455566,-0.3583408,2
36762865,0.07137286,-0.0026069474,0.03627582,-0.4444846,0.023995994,-0.013992068,0.89535576,0.92968196,0.072166294,0.0455566,-0.3583408,2
36794875,0.06540384,0.11971724,-0.0055824528,-0.44577193,0.024215689,-0.014309671,0.89470464,0.92968196,0.072166294,0.0455566,-0.3583408,2
36827769,-0.043760058,-0.124567874,-0.045902073,-0.4469407,0.02430689,-0.014424931,0.894117,0.92968196,0.072166294,0.0455566,-0.3583408,2
36859695,-0.07975065,-0.12763095,0.0071128374,-0.4480507,0.024424402,-0.014466029,0.8935574,0.92968196,0.072166294,0.0455566,-0.3583408,2
36891685,-0.07600744,0.13527969,0.07191559,-0.44936508,0.024526712,-0.014625447,0.89289165,0.92968196,0.072166294,0.0455566,-0.3583408,2
36923760,0.014739782,-0.15573615,0.012856241,-0.45043272,0.025293596,-0.014816766,0.892329,0.92968196,0.072166294,0.0455566,-0.3583408,2
36955726,0.21156195,0.025610037,-0.025763594,-0.45153368,0.02537095,-0.0149655035,0.89176786,0.92968196,0.072166294,0.0455566,-0.3583408,2
36983718,-0.060422614,0.10740463,0.08545184,-0.45276114,0.025170133,-0.015173438,0.89114743,0.92968196,0.072166294,0.0455566,-0.3583408,2
37016500,-0.1268469,-0.13530363,-0.039941974,-0.45386922,0.025536016,-0.015354491,0.89057004,0.92968196,0.072166294,0.0455566,-0.3583408,2
37048503,-0.2072994,-0.14525609,0.04654727,-0.45513394,0.027339386,-0.015229362,0.8898729,0.92968196,0.072166294,0.0455566,-0.3583408,2
37080518,-0.049284466,-0.17777102,0.11476446,-0.45603508,0.02678813,-0.016159317,0.8894118,0.92968196,0.072166294,0.0455566,-0.3583408,2
37112516,0.117357515,0.11906064,-0.031999495,-0.4573213,0.025260866,-0.015402054,0.88880926,0.92968196,0.072166294,0.0455566,-0.3583408,2
37144517,-0.054933548,-0.3266963,-0.035352074,-0.45837703,0.025073644,-0.01447814,0.8882861,0.92968196,0.072166294,0.0455566,-0.3583408,2
37176538,-0.20021276,0.15868261,0.09296346,-0.45945585,0.027850807,-0.016625343,0.8876083,0.92968196,0.072166294,0.0455566,-0.3583408,2
37208499,0.20458548,-0.05874391,0.08756465,-0.46113047,0.028634116,-0.016782373,0.8867115,0.92968196,0.072166294,0.0455566,-0.3583408,2
37241332,0.0864159,-0.048419878,-0.019198518,-0.4627639,0.027614169,-0.01624436,0.8859024,0.92968196,0.072166294,0.0455566,-0.3583408,2
37273317,-0.010014822,0.19422686,-0.028343696,-0.46383137,0.027376624,-0.016416708,0.88534826,0.92968196,0.072166294,0.0455566,-0.3583408,2
37305320,-0.108138025,-0.06969002,0.14341354,-0.4655242,0.029424777,-0.01674278,0.8843875,0.92968196,0.072166294,0.0455566,-0.3583408,2
37337310,0.062835395,-0.19335775,-0.042790152,-0.46700847,0.029775253,-0.017492598,0.88357836,0.92968196,0.072166294,0.0455566,-0.3583408,2
37365305,0.20430279,0.15468657,-0.021300035,-0.46829087,0.029536651,-0.017110644,0.8829148,0.92968196,0.072166294,0.0455566,-0.3583408,2
37397378,0.1671591,-0.1457905,0.02432878,-0.46953553,0.029880714,-0.017055735,0.882243,0.92968196,0.072166294,0.0455566,-0.3583408,2
37430088,0.022446835,-0.3376666,0.0106563885,-0.47098887,0.030742157,-0.017427413,0.8814311,0.92968196,0.072166294,0.0455566,-0.3583408,2
37462103,0.02305201,0.039111912,0.02315279,-0.47258446,0.030700289,-0.01810253,0.8805645,0.92968196,0.072166294,0.0455566,-0.3583408,2
37494126,-0.026606653,0.23150499,0.012932647,-0.47398517,0.030308656,-0.01794839,0.8798281,0.92968196,0.072166294,0.0455566,-0.3583408,2
37526148,-0.08873882,0.08501391,0.01860051,-0.47499934,0.032163013,-0.01784867,0.879217,0.92968196,0.072166294,0.0455566,-0.3583408,2
37554105,0.04627075,-0.13182394,-0.08461379,-0.47570628,0.032377265,-0.018941201,0.878804,0.92968196,0.072166294,0.0455566,-0.3583408,2
37586111,0.032478515,0.01541359,0.00010308996,-0.47732887,0.031914823,-0.018545602,0.8779491,0.92968196,0.072166294,0.0455566,-0.3583408,2
37618094,-0.05844388,0.36552608,0.029959884,-0.4781522,0.03293093,-0.018800044,0.87745804,0.92968196,0.072166294,0.0455566,-0.3583408,2
37650895,-0.043251127,0.15524739,0.11102183,-0.47930452,0.032812025,-0.019152576,0.8768259,0.92968196,0.072166294,0.0455566,-0.3583408,2
37682936,-0.016249547,0.08672053,-0.08122785,-0.4802253,0.032234594,-0.018572425,0.8763559,0.92968196,0.072166294,0.0455566,-0.3583408,2
37714885,-0.17386925,0.015477953,0.061383195,-0.48018804,0.034421656,-0.01913714,0.8762811,0.92968196,0.072166294,0.0455566,-0.3583408,2
37746922,0.08418914,-0.20826256,0.0246627,-0.48125044,0.03434674,-0.019731307,0.8756878,0.92968196,0.072166294,0.0455566,-0.3583408,2
37774894,-0.01968711,0.043197453,-0.09918101,-0.48211452,0.032799393,-0.018855585,0.87529105,0.92968196,0.072166294,0.0455566,-0.3583408,2
37806885,-0.46775454,0.14736135,-0.12902437,-0.48111176,0.03614023,-0.019571692,0.8756954,0.92968196,0.072166294,0.0455566,-0.3583408,2
